s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.8275270E+001, 1.2518757E+001,-4.3758406E+000,-7.2781672E+000,-9.3485710E-001,-1.8161647E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0782795E-002,-2.5172488E-001, 6.6595631E-004, 6.6595631E-004
 1.8379589E+001, 1.2511691E+001,-4.3736663E+000,-7.2622405E+000,-9.5236692E-001,-1.8161617E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6652642E-002,-2.5819942E-001, 6.6595631E-004, 6.6595631E-004
 1.8483910E+001, 1.2507247E+001,-4.3724654E+000,-7.2614757E+000,-9.4121758E-001,-1.8161709E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9530138E-002,-2.4952846E-001, 6.6595631E-004, 6.6595631E-004
 1.8692547E+001, 1.2503575E+001,-4.3717461E+000,-7.2520497E+000,-9.4540834E-001,-1.8161892E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2286334E-002,-2.4724752E-001, 6.6595631E-004, 6.6595631E-004
 1.8796865E+001, 1.2501590E+001,-4.3716303E+000,-7.2420098E+000,-9.5231900E-001,-1.8161927E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9740333E-002,-2.4598822E-001, 6.6595631E-004, 6.6595631E-004
 1.8901184E+001, 1.2500886E+001,-4.3749369E+000,-7.2319185E+000,-9.5738912E-001,-1.8161724E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2814450E-002,-2.4497583E-001, 6.6595631E-004, 6.6595631E-004
 1.9005505E+001, 1.2500397E+001,-4.3748687E+000,-7.2123678E+000,-9.9019590E-001,-1.8161248E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9582272E-002,-2.5864741E-001, 6.6595631E-004, 6.6595631E-004
 1.9109823E+001, 1.2500157E+001,-4.3752104E+000,-7.2181949E+000,-9.7006408E-001,-1.8160653E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5775929E-002,-2.4491907E-001, 6.6595631E-004, 6.6595631E-004
 1.9214142E+001, 1.2499982E+001,-4.3722789E+000,-7.2146181E+000,-9.7670267E-001,-1.8159865E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2014537E-002,-2.4521589E-001, 6.6595631E-004, 6.6595631E-004
 1.9422781E+001, 1.2499848E+001,-4.3731732E+000,-7.2055074E+000,-9.8386988E-001,-1.8158379E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1262123E-002,-2.4428646E-001, 6.6595631E-004, 6.6595631E-004
 1.9527100E+001, 1.2499785E+001,-4.3722281E+000,-7.1975715E+000,-9.9343297E-001,-1.8156663E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7630142E-002,-2.4501406E-001, 6.6595631E-004, 6.6595631E-004
 1.9631418E+001, 1.2499805E+001,-4.3726383E+000,-7.1925850E+000,-9.9790103E-001,-1.8155496E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2670744E-002,-2.4487407E-001, 6.6595631E-004, 6.6595631E-004
 1.9735737E+001, 1.2499853E+001,-4.3756230E+000,-7.1855774E+000,-1.0019215E+000,-1.8154347E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3124487E-002,-2.4481287E-001, 6.6595631E-004, 6.6595631E-004
 1.9840055E+001, 1.2499909E+001,-4.3764713E+000,-7.1796734E+000,-1.0083159E+000,-1.8153308E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0379363E-002,-2.4608453E-001, 6.6595631E-004, 6.6595631E-004
 1.9944376E+001, 1.2499987E+001,-4.3764939E+000,-7.1777687E+000,-1.0086936E+000,-1.8152473E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.4888789E-002,-2.4449361E-001, 6.6595631E-004, 6.6595631E-004
 2.0048695E+001, 1.2500078E+001,-4.3786439E+000,-7.1709920E+000,-1.0146654E+000,-1.8151827E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5427547E-002,-2.4574184E-001, 6.6595631E-004, 6.6595631E-004
 2.0257332E+001, 1.2500213E+001,-4.3811762E+000,-7.1633976E+000,-1.0200387E+000,-1.8151378E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9215621E-002,-2.4591314E-001, 6.6595631E-004, 6.6595631E-004
 2.0361652E+001, 1.2500301E+001,-4.3815595E+000,-7.1580029E+000,-1.0253695E+000,-1.8151581E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1920402E-002,-2.4614711E-001, 6.6595631E-004, 6.6595631E-004
 2.0454889E+001, 1.2285340E+001,-4.3078232E+000,-7.0109225E+000,-1.0283313E+000,-1.8151693E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4192792E-002,-2.4325342E-001, 6.6595631E-004, 6.6595631E-004
 2.0548126E+001, 1.2358103E+001,-4.3329323E+000,-7.0553709E+000,-1.0344887E+000,-1.8152356E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8889023E-002,-2.4621250E-001, 6.6595631E-004, 6.6595631E-004
 2.0641363E+001, 1.2406106E+001,-4.3528522E+000,-7.0814601E+000,-1.0368435E+000,-1.8153223E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9847919E-002,-2.4658250E-001, 6.6595631E-004, 6.6595631E-004
 2.0827837E+001, 1.2448372E+001,-4.3679143E+000,-7.1068490E+000,-1.0373596E+000,-1.8155315E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.3297469E-002,-2.4530382E-001, 6.6595631E-004, 6.6595631E-004
 2.0921074E+001, 1.2472882E+001,-4.3732183E+000,-7.1242574E+000,-1.0384542E+000,-1.8158473E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8814705E-002,-2.4463263E-001, 6.6595631E-004, 6.6595631E-004
 2.1014311E+001, 1.2482168E+001,-4.3776064E+000,-7.1274670E+000,-1.0407761E+000,-1.8161218E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8484746E-002,-2.4529346E-001, 6.6595631E-004, 6.6595631E-004
 2.1200785E+001, 1.2490287E+001,-4.3802232E+000,-7.1317183E+000,-1.0421942E+000,-1.8165948E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9076239E-002,-2.4550815E-001, 6.6595631E-004, 6.6595631E-004
 2.1294022E+001, 1.2495031E+001,-4.3828560E+000,-7.1332841E+000,-1.0428587E+000,-1.8171252E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6811523E-002,-2.4568061E-001, 6.6595631E-004, 6.6595631E-004
 2.1387259E+001, 1.2496857E+001,-4.3830650E+000,-7.1350112E+000,-1.0429949E+000,-1.8175032E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7199528E-002,-2.4596450E-001, 6.6595631E-004, 6.6595631E-004
 2.1480495E+001, 1.2498087E+001,-4.3834274E+000,-7.1363626E+000,-1.0427321E+000,-1.8178964E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0369681E-002,-2.4622512E-001, 6.6595631E-004, 6.6595631E-004
 2.1666969E+001, 1.2499195E+001,-4.3840225E+000,-7.1384269E+000,-1.0417244E+000,-1.8184983E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6514710E-002,-2.4682881E-001, 6.6595631E-004, 6.6595631E-004
 2.1760206E+001, 1.2499844E+001,-4.3837737E+000,-7.1414618E+000,-1.0406167E+000,-1.8191003E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1571851E-002,-2.4791796E-001, 6.6595631E-004, 6.6595631E-004
 2.1853443E+001, 1.2500075E+001,-4.3834881E+000,-7.1435441E+000,-1.0401499E+000,-1.8194872E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6093543E-002,-2.4905622E-001, 6.6595631E-004, 6.6595631E-004
 2.2039917E+001, 1.2500224E+001,-4.3817168E+000,-7.1489604E+000,-1.0380897E+000,-1.8200275E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9223707E-002,-2.5054527E-001, 6.6595631E-004, 6.6595631E-004
 2.2133154E+001, 1.2500290E+001,-4.3803989E+000,-7.1567443E+000,-1.0317481E+000,-1.8205061E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4491832E-002,-2.5065173E-001, 6.6595631E-004, 6.6595631E-004
 2.2226391E+001, 1.2500199E+001,-4.3808513E+000,-7.1601781E+000,-1.0285707E+000,-1.8207692E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9208307E-002,-2.5147787E-001, 6.6595631E-004, 6.6595631E-004
 2.2412865E+001, 1.2500090E+001,-4.3795338E+000,-7.1673713E+000,-1.0240347E+000,-1.8210590E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1678901E-002,-2.5295521E-001, 6.6595631E-004, 6.6595631E-004
 2.2506102E+001, 1.2500015E+001,-4.3787504E+000,-7.1744140E+000,-1.0191135E+000,-1.8212323E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9356717E-002,-2.5438594E-001, 6.6595631E-004, 6.6595631E-004
 2.2599339E+001, 1.2499972E+001,-4.3767942E+000,-7.1806022E+000,-1.0158735E+000,-1.8212674E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8853970E-002,-2.5542415E-001, 6.6595631E-004, 6.6595631E-004
 2.2692575E+001, 1.2499934E+001,-4.3795645E+000,-7.1834617E+000,-1.0093949E+000,-1.8212418E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6868665E-002,-2.5461120E-001, 6.6595631E-004, 6.6595631E-004
 2.2879049E+001, 1.2499896E+001,-4.3800610E+000,-7.1890027E+000,-1.0037045E+000,-1.8211020E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.6823594E-002,-2.5498257E-001, 6.6595631E-004, 6.6595631E-004
