s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 2.0807535E+001, 9.8893229E+001,-3.4351362E+001, 1.5362015E+000,-1.1295110E+001,-1.4395888E+000, 2.2019256E+001, 0.0000000E+000, 0.0000000E+000, 7.7547162E+001, 7.5362626E+001, 5.2638253E-003, 5.2638253E-003, 4.3574466E+002
 2.0929750E+001, 9.8855398E+001,-3.4333354E+001, 1.5359616E+000,-1.1312309E+001,-1.4395859E+000, 2.2016578E+001, 0.0000000E+000, 0.0000000E+000, 7.7772785E+001, 7.5322690E+001, 5.2638253E-003, 5.2638253E-003, 4.3825734E+002
 2.1051966E+001, 9.8772386E+001,-3.4307556E+001, 1.5356671E+000,-1.1332929E+001,-1.4395559E+000, 2.1985060E+001, 0.0000000E+000, 0.0000000E+000, 7.8426976E+001, 7.5213072E+001, 5.2638253E-003, 5.2638253E-003, 4.4076659E+002
 2.1174181E+001, 9.8718111E+001,-3.4296381E+001, 1.5353778E+000,-1.1357097E+001,-1.4395259E+000, 2.1955696E+001, 0.0000000E+000, 0.0000000E+000, 7.7847634E+001, 7.5116180E+001, 5.2638253E-003, 5.2638253E-003, 4.4327240E+002
 2.1296396E+001, 9.8693176E+001,-3.4296785E+001, 1.5351409E+000,-1.1383785E+001,-1.4395042E+000, 2.1930217E+001, 0.0000000E+000, 0.0000000E+000, 7.7369974E+001, 7.5038461E+001, 5.2638253E-003, 5.2638253E-003, 4.4577491E+002
 2.1418612E+001, 9.8700948E+001,-3.4317135E+001, 1.5349837E+000,-1.1412272E+001,-1.4394965E+000, 2.1913206E+001, 0.0000000E+000, 0.0000000E+000, 7.7337640E+001, 7.4980234E+001, 5.2638253E-003, 5.2638253E-003, 4.4827547E+002
 2.1540827E+001, 9.8730592E+001,-3.4341785E+001, 1.5349178E+000,-1.1441391E+001,-1.4395014E+000, 2.1902812E+001, 0.0000000E+000, 0.0000000E+000, 7.7258949E+001, 7.4945644E+001, 5.2638253E-003, 5.2638253E-003, 4.5077487E+002
 2.1601934E+001, 9.8746912E+001,-3.4374454E+001, 1.5349223E+000,-1.1463550E+001,-1.4395041E+000, 2.1886610E+001, 0.0000000E+000, 0.0000000E+000, 7.7129612E+001, 7.4890936E+001, 5.2638253E-003, 5.2638253E-003, 4.5202367E+002
 2.1724150E+001, 9.8774086E+001,-3.4411007E+001, 1.5349375E+000,-1.1485412E+001,-1.4395094E+000, 2.1871621E+001, 0.0000000E+000, 0.0000000E+000, 7.7050588E+001, 7.4844716E+001, 5.2638253E-003, 5.2638253E-003, 4.5451942E+002
 2.1846365E+001, 9.8831854E+001,-3.4428205E+001, 1.5349972E+000,-1.1512397E+001,-1.4395267E+000, 2.1873892E+001, 0.0000000E+000, 0.0000000E+000, 7.7020715E+001, 7.4860615E+001, 5.2638253E-003, 5.2638253E-003, 4.5701486E+002
 2.1968580E+001, 9.8886065E+001,-3.4440298E+001, 1.5351327E+000,-1.1536227E+001,-1.4395509E+000, 2.1882376E+001, 0.0000000E+000, 0.0000000E+000, 7.7051481E+001, 7.4887498E+001, 5.2638253E-003, 5.2638253E-003, 4.5951122E+002
 2.2090796E+001, 9.8907317E+001,-3.4443466E+001, 1.5353001E+000,-1.1557963E+001,-1.4395688E+000, 2.1884536E+001, 0.0000000E+000, 0.0000000E+000, 7.7034229E+001, 7.4886155E+001, 5.2638253E-003, 5.2638253E-003, 4.6200810E+002
 2.2213011E+001, 9.8897423E+001,-3.4408077E+001, 1.5354499E+000,-1.1577708E+001,-1.4395751E+000, 2.1886886E+001, 0.0000000E+000, 0.0000000E+000, 7.7071921E+001, 7.4894399E+001, 5.2638253E-003, 5.2638253E-003, 4.6450496E+002
 2.2335226E+001, 9.8881701E+001,-3.4371705E+001, 1.5356242E+000,-1.1596233E+001,-1.4395796E+000, 2.1893481E+001, 0.0000000E+000, 0.0000000E+000, 7.7098910E+001, 7.4903289E+001, 5.2638253E-003, 5.2638253E-003, 4.6700301E+002
 2.2457441E+001, 9.8807866E+001,-3.4350030E+001, 1.5358010E+000,-1.1616800E+001,-1.4395580E+000, 2.1869336E+001, 0.0000000E+000, 0.0000000E+000, 7.7008341E+001, 7.4806615E+001, 5.2638253E-003, 5.2638253E-003, 4.6949905E+002
 2.2579657E+001, 9.8736433E+001,-3.4326554E+001, 1.5359234E+000,-1.1641817E+001,-1.4395250E+000, 2.1837625E+001, 0.0000000E+000, 0.0000000E+000, 7.6904423E+001, 7.4702087E+001, 5.2638253E-003, 5.2638253E-003, 4.7199139E+002
 2.2701870E+001, 9.8692323E+001,-3.4327182E+001, 1.5360201E+000,-1.1669795E+001,-1.4394950E+000, 2.1807147E+001, 0.0000000E+000, 0.0000000E+000, 7.6804866E+001, 7.4599018E+001, 5.2638253E-003, 5.2638253E-003, 4.7448024E+002
 2.2817923E+001, 9.8171083E+001,-3.4152963E+001, 1.5361215E+000,-1.1698241E+001,-1.4394447E+000, 2.1720098E+001, 0.0000000E+000, 0.0000000E+000, 7.6721812E+001, 7.4136654E+001, 5.2638253E-003, 5.2638253E-003, 4.7684107E+002
 2.2927809E+001, 9.7973091E+001,-3.4095886E+001, 1.5360961E+000,-1.1723096E+001,-1.4393541E+000, 2.1553930E+001, 0.0000000E+000, 0.0000000E+000, 7.5793983E+001, 7.3804781E+001, 5.2638253E-003, 5.2638253E-003, 4.7904932E+002
 2.3092640E+001, 9.8300518E+001,-3.4245609E+001, 1.5360620E+000,-1.1758080E+001,-1.4392914E+000, 2.1628152E+001, 0.0000000E+000, 0.0000000E+000, 7.6128725E+001, 7.4021752E+001, 5.2638253E-003, 5.2638253E-003, 4.8237620E+002
 2.3202526E+001, 9.8507896E+001,-3.4330143E+001, 1.5359809E+000,-1.1793602E+001,-1.4392581E+000, 2.1664126E+001, 0.0000000E+000, 0.0000000E+000, 7.6271488E+001, 7.4145000E+001, 5.2638253E-003, 5.2638253E-003, 4.8459796E+002
 2.3312412E+001, 9.8636433E+001,-3.4386136E+001, 1.5359138E+000,-1.1819992E+001,-1.4392545E+000, 2.1682656E+001, 0.0000000E+000, 0.0000000E+000, 7.6339490E+001, 7.4209619E+001, 5.2638253E-003, 5.2638253E-003, 4.8682158E+002
 2.3422300E+001, 9.8752531E+001,-3.4423422E+001, 1.5358298E+000,-1.1844342E+001,-1.4392701E+000, 2.1707685E+001, 0.0000000E+000, 0.0000000E+000, 7.6411899E+001, 7.4289012E+001, 5.2638253E-003, 5.2638253E-003, 4.8904794E+002
 2.3532187E+001, 9.8834811E+001,-3.4432548E+001, 1.5357129E+000,-1.1866970E+001,-1.4392929E+000, 2.1728010E+001, 0.0000000E+000, 0.0000000E+000, 7.6485929E+001, 7.4359723E+001, 5.2638253E-003, 5.2638253E-003, 4.9127619E+002
 2.3642073E+001, 9.8897013E+001,-3.4441883E+001, 1.5356122E+000,-1.1887565E+001,-1.4393233E+000, 2.1747911E+001, 0.0000000E+000, 0.0000000E+000, 7.6573364E+001, 7.4411765E+001, 5.2638253E-003, 5.2638253E-003, 4.9350701E+002
 2.3806904E+001, 9.8883836E+001,-3.4413620E+001, 1.5354497E+000,-1.1912537E+001,-1.4393360E+000, 2.1747521E+001, 0.0000000E+000, 0.0000000E+000, 7.6593617E+001, 7.4401313E+001, 5.2638253E-003, 5.2638253E-003, 4.9685348E+002
 2.3916790E+001, 9.8840133E+001,-3.4389608E+001, 1.5353261E+000,-1.1938358E+001,-1.4393361E+000, 2.1734498E+001, 0.0000000E+000, 0.0000000E+000, 7.6528807E+001, 7.4342656E+001, 5.2638253E-003, 5.2638253E-003, 4.9908368E+002
 2.4026678E+001, 9.8778362E+001,-3.4387420E+001, 1.5352224E+000,-1.1961937E+001,-1.4393180E+000, 2.1703078E+001, 0.0000000E+000, 0.0000000E+000, 7.6442221E+001, 7.4227987E+001, 5.2638253E-003, 5.2638253E-003, 5.0131099E+002
