s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 3.0273607E+001, 9.8793602E+001,-3.4540768E+001, 1.5359058E+000,-1.3686707E+001,-1.4393957E+000, 2.0943099E+001, 0.0000000E+000, 0.0000000E+000, 7.3781969E+001, 7.1605736E+001, 5.2638253E-003, 5.2638253E-003, 6.2573508E+002
 3.0372484E+001, 9.8880454E+001,-3.4569777E+001, 1.5359394E+000,-1.3728554E+001,-1.4394275E+000, 2.0949493E+001, 0.0000000E+000, 0.0000000E+000, 7.3789451E+001, 7.1628128E+001, 5.2638253E-003, 5.2638253E-003, 6.2766871E+002
 3.0520800E+001, 9.8953825E+001,-3.4586270E+001, 1.5359909E+000,-1.3768765E+001,-1.4394684E+000, 2.0957622E+001, 0.0000000E+000, 0.0000000E+000, 7.3844033E+001, 7.1652935E+001, 5.2638253E-003, 5.2638253E-003, 6.3057027E+002
 3.0619677E+001, 9.9003589E+001,-3.4603145E+001, 1.5360371E+000,-1.3807814E+001,-1.4395104E+000, 2.0958414E+001, 0.0000000E+000, 0.0000000E+000, 7.3828677E+001, 7.1647571E+001, 5.2638253E-003, 5.2638253E-003, 6.3250490E+002
 3.0767992E+001, 9.9022123E+001,-3.4611291E+001, 1.5360653E+000,-1.3845723E+001,-1.4395469E+000, 2.0949998E+001, 0.0000000E+000, 0.0000000E+000, 7.3805700E+001, 7.1611625E+001, 5.2638253E-003, 5.2638253E-003, 6.3540589E+002
 3.0866869E+001, 9.9018086E+001,-3.4609905E+001, 1.5360754E+000,-1.3882892E+001,-1.4395775E+000, 2.0935980E+001, 0.0000000E+000, 0.0000000E+000, 7.3748704E+001, 7.1557767E+001, 5.2638253E-003, 5.2638253E-003, 6.3733867E+002
 3.0965746E+001, 9.9000832E+001,-3.4596895E+001, 1.5360696E+000,-1.3912470E+001,-1.4395975E+000, 2.0922827E+001, 0.0000000E+000, 0.0000000E+000, 7.3712741E+001, 7.1510765E+001, 5.2638253E-003, 5.2638253E-003, 6.3927020E+002
 3.1114061E+001, 9.8969561E+001,-3.4579682E+001, 1.5360587E+000,-1.3949614E+001,-1.4396190E+000, 2.0905065E+001, 0.0000000E+000, 0.0000000E+000, 7.3661288E+001, 7.1441770E+001, 5.2638253E-003, 5.2638253E-003, 6.4216534E+002
 3.1212938E+001, 9.8925401E+001,-3.4567415E+001, 1.5360444E+000,-1.3987765E+001,-1.4396346E+000, 2.0877859E+001, 0.0000000E+000, 0.0000000E+000, 7.3550120E+001, 7.1344489E+001, 5.2638253E-003, 5.2638253E-003, 6.4409301E+002
 3.1361254E+001, 9.8881669E+001,-3.4557922E+001, 1.5360279E+000,-1.4027295E+001,-1.4396460E+000, 2.0848492E+001, 0.0000000E+000, 0.0000000E+000, 7.3459376E+001, 7.1241327E+001, 5.2638253E-003, 5.2638253E-003, 6.4698051E+002
 3.1460131E+001, 9.8835195E+001,-3.4550133E+001, 1.5360085E+000,-1.4067959E+001,-1.4396503E+000, 2.0815648E+001, 0.0000000E+000, 0.0000000E+000, 7.3340280E+001, 7.1129110E+001, 5.2638253E-003, 5.2638253E-003, 6.4890242E+002
 3.1608446E+001, 9.8789708E+001,-3.4535793E+001, 1.5359866E+000,-1.4109805E+001,-1.4396448E+000, 2.0786724E+001, 0.0000000E+000, 0.0000000E+000, 7.3219469E+001, 7.1027176E+001, 5.2638253E-003, 5.2638253E-003, 6.5178131E+002
 3.1707323E+001, 9.8763269E+001,-3.4526732E+001, 1.5359649E+000,-1.4152230E+001,-1.4396348E+000, 2.0761277E+001, 0.0000000E+000, 0.0000000E+000, 7.3141278E+001, 7.0941914E+001, 5.2638253E-003, 5.2638253E-003, 6.5369807E+002
 3.1806200E+001, 9.8745376E+001,-3.4522320E+001, 1.5359467E+000,-1.4186650E+001,-1.4396212E+000, 2.0742292E+001, 0.0000000E+000, 0.0000000E+000, 7.3052487E+001, 7.0875023E+001, 5.2638253E-003, 5.2638253E-003, 6.5561307E+002
 3.1954515E+001, 9.8716520E+001,-3.4513882E+001, 1.5359191E+000,-1.4229702E+001,-1.4395936E+000, 2.0718363E+001, 0.0000000E+000, 0.0000000E+000, 7.2978166E+001, 7.0787625E+001, 5.2638253E-003, 5.2638253E-003, 6.5848243E+002
 3.2053391E+001, 9.8688416E+001,-3.4509156E+001, 1.5358853E+000,-1.4272732E+001,-1.4395562E+000, 2.0691930E+001, 0.0000000E+000, 0.0000000E+000, 7.2919152E+001, 7.0694787E+001, 5.2638253E-003, 5.2638253E-003, 6.6039289E+002
 3.2201706E+001, 9.8654662E+001,-3.4499032E+001, 1.5358442E+000,-1.4315673E+001,-1.4395087E+000, 2.0665525E+001, 0.0000000E+000, 0.0000000E+000, 7.2805117E+001, 7.0601817E+001, 5.2638253E-003, 5.2638253E-003, 6.6325496E+002
 3.2300583E+001, 9.8619819E+001,-3.4488563E+001, 1.5357957E+000,-1.4358479E+001,-1.4394523E+000, 2.0638277E+001, 0.0000000E+000, 0.0000000E+000, 7.2695377E+001, 7.0507398E+001, 5.2638253E-003, 5.2638253E-003, 6.6516048E+002
 3.2448898E+001, 9.8575757E+001,-3.4476621E+001, 1.5357369E+000,-1.4401235E+001,-1.4393844E+000, 2.0608262E+001, 0.0000000E+000, 0.0000000E+000, 7.2581222E+001, 7.0402517E+001, 5.2638253E-003, 5.2638253E-003, 6.6801464E+002
 3.2547775E+001, 9.8531290E+001,-3.4458793E+001, 1.5356670E+000,-1.4444281E+001,-1.4393078E+000, 2.0579262E+001, 0.0000000E+000, 0.0000000E+000, 7.2514973E+001, 7.0303837E+001, 5.2638253E-003, 5.2638253E-003, 6.6991467E+002
 3.2646652E+001, 9.8479569E+001,-3.4436109E+001, 1.5355956E+000,-1.4478900E+001,-1.4392307E+000, 2.0555387E+001, 0.0000000E+000, 0.0000000E+000, 7.2421370E+001, 7.0216311E+001, 5.2638253E-003, 5.2638253E-003, 6.7181270E+002
 3.2794968E+001, 9.8408645E+001,-3.4413535E+001, 1.5354853E+000,-1.4522538E+001,-1.4391163E+000, 2.0517894E+001, 0.0000000E+000, 0.0000000E+000, 7.2299666E+001, 7.0086835E+001, 5.2638253E-003, 5.2638253E-003, 6.7465460E+002
 3.2893845E+001, 9.8324367E+001,-3.4387087E+001, 1.5353487E+000,-1.4566589E+001,-1.4389804E+000, 2.0477214E+001, 0.0000000E+000, 0.0000000E+000, 7.2167611E+001, 6.9944273E+001, 5.2638253E-003, 5.2638253E-003, 6.7654557E+002
 3.3042160E+001, 9.8227836E+001,-3.4347602E+001, 1.5351696E+000,-1.4611118E+001,-1.4388126E+000, 2.0435467E+001, 0.0000000E+000, 0.0000000E+000, 7.2018592E+001, 6.9800940E+001, 5.2638253E-003, 5.2638253E-003, 6.7937622E+002
 3.3141037E+001, 9.8101207E+001,-3.4304005E+001, 1.5349466E+000,-1.4656228E+001,-1.4386051E+000, 2.0384566E+001, 0.0000000E+000, 0.0000000E+000, 7.1855838E+001, 6.9621881E+001, 5.2638253E-003, 5.2638253E-003, 6.8125878E+002
 3.3289352E+001, 9.7951951E+001,-3.4255282E+001, 1.5346680E+000,-1.4702279E+001,-1.4383485E+000, 2.0327527E+001, 0.0000000E+000, 0.0000000E+000, 7.1658011E+001, 6.9418236E+001, 5.2638253E-003, 5.2638253E-003, 6.8407515E+002
 3.3388229E+001, 9.7760973E+001,-3.4198016E+001, 1.5343251E+000,-1.4749159E+001,-1.4380298E+000, 2.0255222E+001, 0.0000000E+000, 0.0000000E+000, 7.1391707E+001, 6.9165316E+001, 5.2638253E-003, 5.2638253E-003, 6.8594621E+002
 3.3487106E+001, 9.7670914E+001,-3.4183907E+001, 1.5339907E+000,-1.4787084E+001,-1.4377218E+000, 2.0198077E+001, 0.0000000E+000, 0.0000000E+000, 7.1203147E+001, 6.8994268E+001, 5.2638253E-003, 5.2638253E-003, 6.8781114E+002
 3.3635422E+001, 9.7978131E+001,-3.4283943E+001, 1.5335042E+000,-1.4837001E+001,-1.4373063E+000, 2.0240627E+001, 0.0000000E+000, 0.0000000E+000, 7.1266546E+001, 6.9194011E+001, 5.2638253E-003, 5.2638253E-003, 6.9061194E+002
 3.3734299E+001, 9.8187466E+001,-3.4362747E+001, 1.5329727E+000,-1.4889110E+001,-1.4368184E+000, 2.0278777E+001, 0.0000000E+000, 0.0000000E+000, 7.1460257E+001, 6.9310540E+001, 5.2638253E-003, 5.2638253E-003, 6.9248350E+002
 3.3882614E+001, 9.8289784E+001,-3.4403145E+001, 1.5323068E+000,-1.4941930E+001,-1.4361795E+000, 2.0284341E+001, 0.0000000E+000, 0.0000000E+000, 7.1503940E+001, 6.9325177E+001, 5.2638253E-003, 5.2638253E-003, 6.9529208E+002
 3.3981491E+001, 9.8343258E+001,-3.4400802E+001, 1.5314496E+000,-1.4994131E+001,-1.4353596E+000, 2.0283925E+001, 0.0000000E+000, 0.0000000E+000, 7.1498404E+001, 6.9328339E+001, 5.2638253E-003, 5.2638253E-003, 6.9716424E+002
 3.4080368E+001, 9.8365883E+001,-3.4426527E+001, 1.5305722E+000,-1.5035260E+001,-1.4344721E+000, 2.0272440E+001, 0.0000000E+000, 0.0000000E+000, 7.1485914E+001, 6.9272637E+001, 5.2638253E-003, 5.2638253E-003, 6.9903599E+002
 3.4228683E+001, 9.8390920E+001,-3.4423240E+001, 1.5289309E+000,-1.5087017E+001,-1.4328311E+000, 2.0259070E+001, 0.0000000E+000, 0.0000000E+000, 7.1380821E+001, 6.9235833E+001, 5.2638253E-003, 5.2638253E-003, 7.0184143E+002
 3.4327560E+001, 9.8381240E+001,-3.4409442E+001, 1.5264200E+000,-1.5138521E+001,-1.4303068E+000, 2.0241818E+001, 0.0000000E+000, 0.0000000E+000, 7.1392794E+001, 6.9171208E+001, 5.2638253E-003, 5.2638253E-003, 7.0371045E+002
 3.4465775E+001, 9.7812347E+001,-3.4218557E+001, 1.5222350E+000,-1.5185691E+001,-1.4260475E+000, 2.0102352E+001, 0.0000000E+000, 0.0000000E+000, 7.0980497E+001, 6.8606638E+001, 5.2638253E-003, 5.2638253E-003, 7.0630903E+002
 3.4598938E+001, 9.7760960E+001,-3.4193052E+001, 1.5133626E+000,-1.5237143E+001,-1.4171442E+000, 2.0026056E+001, 0.0000000E+000, 0.0000000E+000, 7.0558781E+001, 6.8453040E+001, 5.2638253E-003, 5.2638253E-003, 7.0879758E+002
 3.4687714E+001, 9.7904913E+001,-3.4253665E+001, 1.5059808E+000,-1.5282033E+001,-1.4097502E+000, 2.0044809E+001, 0.0000000E+000, 0.0000000E+000, 7.0615874E+001, 6.8510255E+001, 5.2638253E-003, 5.2638253E-003, 7.1045843E+002
 3.4820881E+001, 9.8000014E+001,-3.4300325E+001, 1.5065825E+000,-1.5328395E+001,-1.4103384E+000, 2.0051415E+001, 0.0000000E+000, 0.0000000E+000, 7.0658833E+001, 6.8518953E+001, 5.2638253E-003, 5.2638253E-003, 7.1295082E+002
 3.4954044E+001, 9.8311254E+001,-3.4418611E+001, 1.5148596E+000,-1.5385137E+001,-1.4186097E+000, 2.0100151E+001, 0.0000000E+000, 0.0000000E+000, 7.0797917E+001, 6.8703908E+001, 5.2638253E-003, 5.2638253E-003, 7.1544789E+002
 3.5042820E+001, 9.8561199E+001,-3.4517309E+001, 1.5216618E+000,-1.5434310E+001,-1.4253702E+000, 2.0154395E+001, 0.0000000E+000, 0.0000000E+000, 7.1011028E+001, 6.8860266E+001, 5.2638253E-003, 5.2638253E-003, 7.1711790E+002
 3.5175983E+001, 9.8715944E+001,-3.4556719E+001, 1.5250306E+000,-1.5484622E+001,-1.4287684E+000, 2.0180478E+001, 0.0000000E+000, 0.0000000E+000, 7.1124906E+001, 6.8951343E+001, 5.2638253E-003, 5.2638253E-003, 7.1962600E+002
 3.5309147E+001, 9.8820868E+001,-3.4570506E+001, 1.5273108E+000,-1.5544867E+001,-1.4310602E+000, 2.0200634E+001, 0.0000000E+000, 0.0000000E+000, 7.1167964E+001, 6.9002379E+001, 5.2638253E-003, 5.2638253E-003, 7.2213705E+002
 3.5442314E+001, 9.8871055E+001,-3.4579505E+001, 1.5287270E+000,-1.5606397E+001,-1.4324329E+000, 2.0196910E+001, 0.0000000E+000, 0.0000000E+000, 7.1142186E+001, 6.8978356E+001, 5.2638253E-003, 5.2638253E-003, 7.2464799E+002
 3.5531090E+001, 9.8888655E+001,-3.4590783E+001, 1.5295265E+000,-1.5658090E+001,-1.4332208E+000, 2.0183275E+001, 0.0000000E+000, 0.0000000E+000, 7.1135273E+001, 6.8919363E+001, 5.2638253E-003, 5.2638253E-003, 7.2632109E+002
 3.5664253E+001, 9.8890595E+001,-3.4611016E+001, 1.5301272E+000,-1.5708469E+001,-1.4337916E+000, 2.0156942E+001, 0.0000000E+000, 0.0000000E+000, 7.1043858E+001, 6.8824387E+001, 5.2638253E-003, 5.2638253E-003, 7.2882735E+002
 3.5797417E+001, 9.8876815E+001,-3.4617291E+001, 1.5307047E+000,-1.5764380E+001,-1.4343175E+000, 2.0131685E+001, 0.0000000E+000, 0.0000000E+000, 7.0938858E+001, 6.8723217E+001, 5.2638253E-003, 5.2638253E-003, 7.3133054E+002
 3.5886192E+001, 9.8848691E+001,-3.4617692E+001, 1.5310856E+000,-1.5805695E+001,-1.4346486E+000, 2.0106748E+001, 0.0000000E+000, 0.0000000E+000, 7.0846035E+001, 6.8628489E+001, 5.2638253E-003, 5.2638253E-003, 7.3299726E+002
 3.6019360E+001, 9.8796159E+001,-3.4611595E+001, 1.5313568E+000,-1.5841401E+001,-1.4348725E+000, 2.0078755E+001, 0.0000000E+000, 0.0000000E+000, 7.0737622E+001, 6.8518402E+001, 5.2638253E-003, 5.2638253E-003, 7.3549408E+002
 3.6152523E+001, 9.8710975E+001,-3.4586107E+001, 1.5315528E+000,-1.5878235E+001,-1.4350244E+000, 2.0043554E+001, 0.0000000E+000, 0.0000000E+000, 7.0618265E+001, 6.8386716E+001, 5.2638253E-003, 5.2638253E-003, 7.3798659E+002
 3.6241299E+001, 9.8624108E+001,-3.4560706E+001, 1.5316029E+000,-1.5905003E+001,-1.4350498E+000, 2.0009154E+001, 0.0000000E+000, 0.0000000E+000, 7.0452744E+001, 6.8264105E+001, 5.2638253E-003, 5.2638253E-003, 7.3964538E+002
 3.6374462E+001, 9.8610746E+001,-3.4566428E+001, 1.5315458E+000,-1.5929020E+001,-1.4349803E+000, 1.9987761E+001, 0.0000000E+000, 0.0000000E+000, 7.0375580E+001, 6.8199624E+001, 5.2638253E-003, 5.2638253E-003, 7.4213036E+002
 3.6507626E+001, 9.8616839E+001,-3.4568297E+001, 1.5313560E+000,-1.5956356E+001,-1.4347856E+000, 1.9978088E+001, 0.0000000E+000, 0.0000000E+000, 7.0339787E+001, 6.8166844E+001, 5.2638253E-003, 5.2638253E-003, 7.4461419E+002
 3.6640793E+001, 9.8581280E+001,-3.4569452E+001, 1.5309981E+000,-1.5982633E+001,-1.4344283E+000, 1.9954264E+001, 0.0000000E+000, 0.0000000E+000, 7.0308066E+001, 6.8080028E+001, 5.2638253E-003, 5.2638253E-003, 7.4709551E+002
 3.6729568E+001, 9.8546154E+001,-3.4572502E+001, 1.5305358E+000,-1.6004643E+001,-1.4339938E+000, 1.9926334E+001, 0.0000000E+000, 0.0000000E+000, 7.0199483E+001, 6.7991885E+001, 5.2638253E-003, 5.2638253E-003, 7.4874725E+002
 3.6862732E+001, 9.8530484E+001,-3.4566515E+001, 1.5298937E+000,-1.6027041E+001,-1.4334017E+000, 1.9910743E+001, 0.0000000E+000, 0.0000000E+000, 7.0097795E+001, 6.7944163E+001, 5.2638253E-003, 5.2638253E-003, 7.5122274E+002
 3.6995895E+001, 9.8529381E+001,-3.4575458E+001, 1.5288558E+000,-1.6055613E+001,-1.4324341E+000, 1.9892466E+001, 0.0000000E+000, 0.0000000E+000, 7.0073314E+001, 6.7887198E+001, 5.2638253E-003, 5.2638253E-003, 7.5369604E+002
 3.7084671E+001, 9.8535802E+001,-3.4578614E+001, 1.5276920E+000,-1.6081956E+001,-1.4313606E+000, 1.9880131E+001, 0.0000000E+000, 0.0000000E+000, 7.0024017E+001, 6.7851694E+001, 5.2638253E-003, 5.2638253E-003, 7.5534383E+002
 3.7217834E+001, 9.8663010E+001,-3.4608301E+001, 1.5262023E+000,-1.6110506E+001,-1.4299838E+000, 1.9897089E+001, 0.0000000E+000, 0.0000000E+000, 7.0086730E+001, 6.7937510E+001, 5.2638253E-003, 5.2638253E-003, 7.5781647E+002
 3.7351002E+001, 9.8824498E+001,-3.4663173E+001, 1.5239750E+000,-1.6148094E+001,-1.4278777E+000, 1.9926241E+001, 0.0000000E+000, 0.0000000E+000, 7.0206045E+001, 6.8035569E+001, 5.2638253E-003, 5.2638253E-003, 7.6029319E+002
 3.7484165E+001, 9.8901309E+001,-3.4680518E+001, 1.5213410E+000,-1.6189167E+001,-1.4253443E+000, 1.9933757E+001, 0.0000000E+000, 0.0000000E+000, 7.0252116E+001, 6.8061378E+001, 5.2638253E-003, 5.2638253E-003, 7.6277120E+002
 3.7572941E+001, 9.8936183E+001,-3.4696152E+001, 1.5189293E+000,-1.6225323E+001,-1.4230303E+000, 1.9929343E+001, 0.0000000E+000, 0.0000000E+000, 7.0228548E+001, 6.8039950E+001, 5.2638253E-003, 5.2638253E-003, 7.6442303E+002
 3.7706104E+001, 9.8965811E+001,-3.4708263E+001, 1.5166394E+000,-1.6263037E+001,-1.4208048E+000, 1.9921161E+001, 0.0000000E+000, 0.0000000E+000, 7.0181153E+001, 6.8011507E+001, 5.2638253E-003, 5.2638253E-003, 7.6689975E+002
 3.7839268E+001, 9.8993486E+001,-3.4728717E+001, 1.5134456E+000,-1.6310641E+001,-1.4176629E+000, 1.9905943E+001, 0.0000000E+000, 0.0000000E+000, 7.0152441E+001, 6.7955854E+001, 5.2638253E-003, 5.2638253E-003, 7.6937460E+002
 3.7928047E+001, 9.9007525E+001,-3.4730408E+001, 1.5125836E+000,-1.6350663E+001,-1.4167951E+000, 1.9896271E+001, 0.0000000E+000, 0.0000000E+000, 7.0136722E+001, 6.7918513E+001, 5.2638253E-003, 5.2638253E-003, 7.7102374E+002
 3.8061211E+001, 9.9006438E+001,-3.4731165E+001, 1.5119063E+000,-1.6389914E+001,-1.4160921E+000, 1.9880321E+001, 0.0000000E+000, 0.0000000E+000, 7.0051023E+001, 6.7861495E+001, 5.2638253E-003, 5.2638253E-003, 7.7349546E+002
 3.8194374E+001, 9.8987390E+001,-3.4714083E+001, 1.5109690E+000,-1.6436720E+001,-1.4151101E+000, 1.9862964E+001, 0.0000000E+000, 0.0000000E+000, 7.0044971E+001, 6.7795411E+001, 5.2638253E-003, 5.2638253E-003, 7.7596519E+002
 3.8283150E+001, 9.8951082E+001,-3.4708771E+001, 1.5097807E+000,-1.6477235E+001,-1.4138611E+000, 1.9835915E+001, 0.0000000E+000, 0.0000000E+000, 6.9884367E+001, 6.7696911E+001, 5.2638253E-003, 5.2638253E-003, 7.7760961E+002
 3.8416313E+001, 9.8895781E+001,-3.4690315E+001, 1.5076683E+000,-1.6522093E+001,-1.4117132E+000, 1.9803203E+001, 0.0000000E+000, 0.0000000E+000, 6.9809176E+001, 6.7582531E+001, 5.2638253E-003, 5.2638253E-003, 7.8007220E+002
 3.8549480E+001, 9.8815077E+001,-3.4671700E+001, 1.5033845E+000,-1.6581410E+001,-1.4073995E+000, 1.9756360E+001, 0.0000000E+000, 0.0000000E+000, 6.9640559E+001, 6.7414312E+001, 5.2638253E-003, 5.2638253E-003, 7.8252927E+002
 3.8682644E+001, 9.8725257E+001,-3.4640046E+001, 1.4966240E+000,-1.6641481E+001,-1.4005615E+000, 1.9708639E+001, 0.0000000E+000, 0.0000000E+000, 6.9463448E+001, 6.7248431E+001, 5.2638253E-003, 5.2638253E-003, 7.8498023E+002
 3.8771420E+001, 9.8649736E+001,-3.4634298E+001, 1.4913309E+000,-1.6685384E+001,-1.3951600E+000, 1.9665210E+001, 0.0000000E+000, 0.0000000E+000, 6.9333849E+001, 6.7091435E+001, 5.2638253E-003, 5.2638253E-003, 7.8661086E+002
 3.8904583E+001, 9.8563980E+001,-3.4607291E+001, 1.4937401E+000,-1.6722975E+001,-1.3974820E+000, 1.9623420E+001, 0.0000000E+000, 0.0000000E+000, 6.9161552E+001, 6.6953393E+001, 5.2638253E-003, 5.2638253E-003, 7.8905121E+002
 3.9037746E+001, 9.8450762E+001,-3.4563752E+001, 1.5027956E+000,-1.6763124E+001,-1.4064711E+000, 1.9580808E+001, 0.0000000E+000, 0.0000000E+000, 6.9023238E+001, 6.6801019E+001, 5.2638253E-003, 5.2638253E-003, 7.9148637E+002
 3.9126522E+001, 9.8347832E+001,-3.4531426E+001, 1.5091995E+000,-1.6795113E+001,-1.4128542E+000, 1.9539717E+001, 0.0000000E+000, 0.0000000E+000, 6.8860950E+001, 6.6657355E+001, 5.2638253E-003, 5.2638253E-003, 7.9310642E+002
 3.9259689E+001, 9.8311809E+001,-3.4523937E+001, 1.5134178E+000,-1.6826826E+001,-1.4170737E+000, 1.9509931E+001, 0.0000000E+000, 0.0000000E+000, 6.8744220E+001, 6.6567321E+001, 5.2638253E-003, 5.2638253E-003, 7.9553216E+002
 3.9392853E+001, 9.8363588E+001,-3.4533879E+001, 1.5188509E+000,-1.6865765E+001,-1.4225071E+000, 1.9506554E+001, 0.0000000E+000, 0.0000000E+000, 6.8729621E+001, 6.6566842E+001, 5.2638253E-003, 5.2638253E-003, 7.9795699E+002
 3.9481628E+001, 9.8580461E+001,-3.4608672E+001, 1.5216971E+000,-1.6899275E+001,-1.4253541E+000, 1.9535714E+001, 0.0000000E+000, 0.0000000E+000, 6.8791162E+001, 6.6704571E+001, 5.2638253E-003, 5.2638253E-003, 7.9957482E+002
 3.9614792E+001, 9.8816418E+001,-3.4690938E+001, 1.5237339E+000,-1.6934853E+001,-1.4273805E+000, 1.9587182E+001, 0.0000000E+000, 0.0000000E+000, 6.9037076E+001, 6.6874163E+001, 5.2638253E-003, 5.2638253E-003, 8.0200862E+002
 3.9747955E+001, 9.9013292E+001,-3.4759271E+001, 1.5255057E+000,-1.6980003E+001,-1.4291262E+000, 1.9625449E+001, 0.0000000E+000, 0.0000000E+000, 6.9161657E+001, 6.6995846E+001, 5.2638253E-003, 5.2638253E-003, 8.0444790E+002
 3.9881123E+001, 9.9129759E+001,-3.4818441E+001, 1.5268549E+000,-1.7027514E+001,-1.4304445E+000, 1.9631908E+001, 0.0000000E+000, 0.0000000E+000, 6.9195343E+001, 6.7012122E+001, 5.2638253E-003, 5.2638253E-003, 8.0688858E+002
 3.9969898E+001, 9.9181867E+001,-3.4856095E+001, 1.5277943E+000,-1.7068882E+001,-1.4313655E+000, 1.9621757E+001, 0.0000000E+000, 0.0000000E+000, 6.9189523E+001, 6.6975076E+001, 5.2638253E-003, 5.2638253E-003, 8.0851502E+002
 4.0103062E+001, 9.9221633E+001,-3.4865292E+001, 1.5285940E+000,-1.7111230E+001,-1.4321573E+000, 1.9615242E+001, 0.0000000E+000, 0.0000000E+000, 6.9169985E+001, 6.6956790E+001, 5.2638253E-003, 5.2638253E-003, 8.1095361E+002
 4.0236225E+001, 9.9264849E+001,-3.4872490E+001, 1.5294131E+000,-1.7162905E+001,-1.4329677E+000, 1.9611622E+001, 0.0000000E+000, 0.0000000E+000, 6.9112549E+001, 6.6937522E+001, 5.2638253E-003, 5.2638253E-003, 8.1339177E+002
 4.0325001E+001, 9.9263622E+001,-3.4876344E+001, 1.5299737E+000,-1.7206133E+001,-1.4335196E+000, 1.9596667E+001, 0.0000000E+000, 0.0000000E+000, 6.9121345E+001, 6.6874266E+001, 5.2638253E-003, 5.2638253E-003, 8.1501618E+002
 4.0458168E+001, 9.9221164E+001,-3.4872014E+001, 1.5304032E+000,-1.7248643E+001,-1.4339475E+000, 1.9568569E+001, 0.0000000E+000, 0.0000000E+000, 6.8968214E+001, 6.6765531E+001, 5.2638253E-003, 5.2638253E-003, 8.1744960E+002
 4.0591331E+001, 9.9526073E+001,-3.4984943E+001, 1.5307734E+000,-1.7297488E+001,-1.4343577E+000, 1.9595381E+001, 0.0000000E+000, 0.0000000E+000, 6.8991923E+001, 6.6935439E+001, 5.2638253E-003, 5.2638253E-003, 8.1988241E+002
 4.0680107E+001, 1.0011844E+002,-3.5195236E+001, 1.5310529E+000,-1.7338989E+001,-1.4346885E+000, 1.9739162E+001, 0.0000000E+000, 0.0000000E+000, 6.9550055E+001, 6.7419740E+001, 5.2638253E-003, 5.2638253E-003, 8.2151682E+002
 4.0813271E+001, 1.0029901E+002,-3.5268010E+001, 1.5313292E+000,-1.7379651E+001,-1.4349758E+000, 1.9782255E+001, 0.0000000E+000, 0.0000000E+000, 6.9726022E+001, 6.7529962E+001, 5.2638253E-003, 5.2638253E-003, 8.2397551E+002
 4.0946434E+001, 1.0032727E+002,-3.5279484E+001, 1.5315980E+000,-1.7426095E+001,-1.4352679E+000, 1.9783247E+001, 0.0000000E+000, 0.0000000E+000, 6.9739595E+001, 6.7501265E+001, 5.2638253E-003, 5.2638253E-003, 8.2643511E+002
 4.1079601E+001, 1.0032816E+002,-3.5286464E+001, 1.5318000E+000,-1.7472644E+001,-1.4355090E+000, 1.9771571E+001, 0.0000000E+000, 0.0000000E+000, 6.9645593E+001, 6.7436914E+001, 5.2638253E-003, 5.2638253E-003, 8.2889334E+002
 4.1168377E+001, 1.0020852E+002,-3.5258320E+001, 1.5319428E+000,-1.7512780E+001,-1.4356659E+000, 1.9735576E+001, 0.0000000E+000, 0.0000000E+000, 6.9556624E+001, 6.7269271E+001, 5.2638253E-003, 5.2638253E-003, 8.3053006E+002
 4.1301540E+001, 9.9992134E+001,-3.5196019E+001, 1.5320481E+000,-1.7554701E+001,-1.4357784E+000, 1.9664198E+001, 0.0000000E+000, 0.0000000E+000, 6.9296007E+001, 6.7001883E+001, 5.2638253E-003, 5.2638253E-003, 8.3297655E+002
 4.1434704E+001, 9.9697041E+001,-3.5113755E+001, 1.5321619E+000,-1.7605018E+001,-1.4358839E+000, 1.9563333E+001, 0.0000000E+000, 0.0000000E+000, 6.8954427E+001, 6.6637879E+001, 5.2638253E-003, 5.2638253E-003, 8.3541058E+002
 4.1523479E+001, 9.9465847E+001,-3.5048585E+001, 1.5322646E+000,-1.7644395E+001,-1.4359652E+000, 1.9480823E+001, 0.0000000E+000, 0.0000000E+000, 6.8648522E+001, 6.6349990E+001, 5.2638253E-003, 5.2638253E-003, 8.3702626E+002
 4.1656647E+001, 9.9263952E+001,-3.4984794E+001, 1.5323830E+000,-1.7678991E+001,-1.4360536E+000, 1.9411311E+001, 0.0000000E+000, 0.0000000E+000, 6.8363248E+001, 6.6107806E+001, 5.2638253E-003, 5.2638253E-003, 8.3944104E+002
 4.1789810E+001, 9.9065020E+001,-3.4929104E+001, 1.5325420E+000,-1.7713352E+001,-1.4361751E+000, 1.9336079E+001, 0.0000000E+000, 0.0000000E+000, 6.8085123E+001, 6.5855010E+001, 5.2638253E-003, 5.2638253E-003, 8.4184608E+002
 4.1922974E+001, 9.8915730E+001,-3.4881624E+001, 1.5327094E+000,-1.7738843E+001,-1.4363116E+000, 1.9282033E+001, 0.0000000E+000, 0.0000000E+000, 6.7901209E+001, 6.5673693E+001, 5.2638253E-003, 5.2638253E-003, 8.4424405E+002
