s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 9.6421837E+001, 1.2499291E+001,-2.9681981E+000,-6.2022879E+000,-2.9049930E+000, 3.1121001E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2763731E-001, 4.2692452E-001, 6.6595631E-004, 6.6595631E-004
 9.6591270E+001, 1.2499320E+001,-2.9612416E+000,-6.2206140E+000,-2.9110800E+000, 3.1125958E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1185719E-001, 4.0949717E-001, 6.6595631E-004, 6.6595631E-004
 9.6760696E+001, 1.2499382E+001,-2.9558944E+000,-6.2368203E+000,-2.9181545E+000, 3.1128023E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9498754E-001, 3.9162546E-001, 6.6595631E-004, 6.6595631E-004
 9.6930122E+001, 1.2499414E+001,-2.5872556E+000,-6.2430665E+000,-2.9248436E+000, 3.1127040E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8006634E-001, 7.4736104E-001, 6.6595631E-004, 6.6595631E-004
 9.7099548E+001, 1.2499713E+001,-2.8293007E+000,-6.2552293E+000,-2.9331248E+000, 3.1123371E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3681947E-001, 4.8517043E-001, 6.6595631E-004, 6.6595631E-004
 9.7268974E+001, 1.2500395E+001,-2.8875236E+000,-6.2612916E+000,-2.9377100E+000, 3.1116660E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7612620E-001, 4.1698114E-001, 6.6595631E-004, 6.6595631E-004
 9.7438400E+001, 1.2500645E+001,-2.9490803E+000,-6.2594032E+000,-2.9423563E+000, 3.1107643E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.1084416E-001, 3.5291584E-001, 6.6595631E-004, 6.6595631E-004
 9.7607834E+001, 1.2500787E+001,-3.0067336E+000,-6.2509629E+000,-2.9443605E+000, 3.1096383E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5092931E-001, 3.0183939E-001, 6.6595631E-004, 6.6595631E-004
 9.7777260E+001, 1.2500857E+001,-3.0606791E+000,-6.2361204E+000,-2.9448232E+000, 3.1083816E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0328921E-001, 2.6234286E-001, 6.6595631E-004, 6.6595631E-004
 9.7946686E+001, 1.2500947E+001,-3.7310752E+000,-6.2259544E+000,-2.9446410E+000, 3.1070557E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6629560E-001,-3.9761668E-001, 6.6595631E-004, 6.6595631E-004
 9.8116112E+001, 1.2500867E+001,-3.7500552E+000,-6.1993388E+000,-2.9436991E+000, 3.1057702E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8907648E-001,-3.8912065E-001, 6.6595631E-004, 6.6595631E-004
 9.8285538E+001, 1.2500868E+001,-3.7988006E+000,-6.1694755E+000,-2.9438158E+000, 3.1043700E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8055366E-001,-4.0811944E-001, 6.6595631E-004, 6.6595631E-004
 9.8434990E+001, 1.2998911E+001,-3.8362776E+000,-6.1318532E+000,-2.9453904E+000, 3.1031906E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.0053014E-001, 8.8492586E-002, 6.6595631E-004, 6.6595631E-004
 9.8584442E+001, 1.2757604E+001,-3.7145296E+000,-6.1032977E+000,-2.9495351E+000, 3.1021759E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.5471018E-002,-6.6560192E-003, 6.6595631E-004, 6.6595631E-004
 9.8733887E+001, 1.2633112E+001,-3.7497255E+000,-6.0754419E+000,-2.9536431E+000, 3.1011944E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9498968E-004,-1.4259740E-001, 6.6595631E-004, 6.6595631E-004
 9.8883339E+001, 1.2568894E+001,-3.7740971E+000,-6.0472726E+000,-2.9574734E+000, 3.1001747E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3834586E-001,-2.0684882E-001, 6.6595631E-004, 6.6595631E-004
