s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 4.2675605E+000, 1.2554152E+001,-3.4126216E+000, 1.5342154E-001,-1.2910478E-001, 2.5606187E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.1427536E+000, 9.1684077E+000, 6.5681944E-004, 6.5681944E-004
 4.3922334E+000, 1.2529135E+001,-3.3868567E+000, 1.5328551E-001,-1.3821232E-001, 2.5601681E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.1579916E+000, 9.1599120E+000, 6.5687639E-004, 6.5687639E-004
 4.5169067E+000, 1.2515095E+001,-3.3771613E+000, 1.5299670E-001,-1.5159551E-001, 2.5592410E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.1477703E+000, 9.1418944E+000, 6.5692078E-004, 6.5692078E-004
 4.6415796E+000, 1.2507341E+001,-3.4099642E+000, 1.5197218E-001,-1.6940598E-001, 2.5581265E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.1271783E+000, 9.0825014E+000, 6.5695537E-004, 6.5695537E-004
 4.7662525E+000, 1.2503138E+001,-3.4548515E+000, 1.5063163E-001,-1.9014498E-001, 2.5571051E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0659902E+000, 9.0113298E+000, 6.5698233E-004, 6.5698233E-004
 4.8909254E+000, 1.2500967E+001,-3.4957204E+000, 1.4917891E-001,-2.1156614E-001, 2.5563101E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.9943403E+000, 8.9454153E+000, 6.5700335E-004, 6.5700335E-004
 5.0155983E+000, 1.2499942E+001,-3.5259007E+000, 1.4731664E-001,-2.3311894E-001, 2.5557859E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.9279183E+000, 8.8907944E+000, 6.5701972E-004, 6.5701972E-004
 5.1402712E+000, 1.2499542E+001,-3.5474441E+000, 1.4198549E-001,-2.5415480E-001, 2.5554798E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.8725480E+000, 8.8424838E+000, 6.5703248E-004, 6.5703248E-004
 5.2649446E+000, 1.2499465E+001,-3.5488968E+000, 1.2823136E-001,-2.7427839E-001, 2.5553046E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.8213398E+000, 8.8070762E+000, 6.5704243E-004, 6.5704243E-004
 5.3896174E+000, 1.2499523E+001,-3.5436478E+000, 1.0434195E-001,-2.9360959E-001, 2.5551306E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.7801973E+000, 8.7691631E+000, 6.5705018E-004, 6.5705018E-004
 5.5142903E+000, 1.2499621E+001,-3.5326515E+000, 6.9896100E-002,-3.1257762E-001, 2.5548016E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.7375567E+000, 8.7268428E+000, 6.5705622E-004, 6.5705622E-004
 5.6389632E+000, 1.2499712E+001,-3.5210276E+000, 1.6758951E-002,-3.3144923E-001, 2.5542236E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.6887923E+000, 8.6665482E+000, 6.5706093E-004, 6.5706093E-004
 5.7636361E+000, 1.2499780E+001,-3.5119621E+000,-4.8283614E-002,-3.5046125E-001, 2.5533231E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.6205235E+000, 8.5916266E+000, 6.5706459E-004, 6.5706459E-004
 5.8883090E+000, 1.2499836E+001,-3.5047907E+000,-1.1566746E-001,-3.6794267E-001, 2.5519359E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.5439680E+000, 8.5139873E+000, 6.5706745E-004, 6.5706745E-004
 6.0254493E+000, 1.2191828E+001,-3.4981999E+000,-1.8797518E-001,-3.8439202E-001, 2.5497717E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4643093E+000, 8.1238111E+000, 6.5706987E-004, 6.5706987E-004
 6.1625896E+000, 1.2332164E+001,-3.4155599E+000,-2.3959604E-001,-3.9740588E-001, 2.5467797E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0819435E+000, 8.2821491E+000, 6.5707172E-004, 6.5707172E-004
 6.2997298E+000, 1.2408572E+001,-3.4383051E+000,-2.8365479E-001,-4.1231647E-001, 2.5414431E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.2464699E+000, 8.2768372E+000, 6.5707311E-004, 6.5707311E-004
 6.4368701E+000, 1.2450251E+001,-3.4731752E+000,-3.1443962E-001,-4.2294615E-001, 2.5339699E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.2509185E+000, 8.2422241E+000, 6.5707418E-004, 6.5707418E-004
 6.5740104E+000, 1.2472965E+001,-3.5150100E+000,-3.3649081E-001,-4.3212515E-001, 2.5216772E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.2243149E+000, 8.1918608E+000, 6.5707499E-004, 6.5707499E-004
 6.7111506E+000, 1.2485319E+001,-3.5471011E+000,-3.5000951E-001,-4.3996741E-001, 2.5132338E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1793702E+000, 8.1507539E+000, 6.5707560E-004, 6.5707560E-004
 6.8482909E+000, 1.2492014E+001,-3.5651833E+000,-3.5529119E-001,-4.4608821E-001, 2.5088362E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1435232E+000, 8.1279606E+000, 6.5707607E-004, 6.5707607E-004
 6.9854312E+000, 1.2495631E+001,-3.5796081E+000,-3.5511610E-001,-4.5220439E-001, 2.5131111E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1240716E+000, 8.1112153E+000, 6.5707642E-004, 6.5707642E-004
 7.1225715E+000, 1.2497571E+001,-3.5891856E+000,-3.5082284E-001,-4.5883395E-001, 2.5206958E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1091852E+000, 8.1012493E+000, 6.5707669E-004, 6.5707669E-004
 7.2597117E+000, 1.2498619E+001,-3.5925150E+000,-3.4170016E-001,-4.6613709E-001, 2.5314228E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1005293E+000, 8.1007986E+000, 6.5707690E-004, 6.5707690E-004
