s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.1183844E+002, 1.2473923E+001,-4.6635527E+000,-5.4712085E+000,-2.2100246E+000,-1.4898376E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2604127E-002,-1.9846246E-002, 6.5707755E-004, 6.5707755E-004
 1.1200562E+002, 1.2487267E+001,-4.6718327E+000,-5.4685336E+000,-2.2161558E+000,-1.4897892E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3330220E-002,-1.8233954E-002, 6.5707755E-004, 6.5707755E-004
 1.1217279E+002, 1.2493559E+001,-4.6710906E+000,-5.4658668E+000,-2.2262946E+000,-1.4895313E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2712029E-003,-1.8646451E-002, 6.5707755E-004, 6.5707755E-004
 1.1231487E+002, 1.2096710E+001,-4.5347493E+000,-5.2086141E+000,-2.2199741E+000,-1.4890952E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.4242521E-003,-1.5536562E-002, 6.5707755E-004, 6.5707755E-004
 1.1245693E+002, 1.2284846E+001,-4.6038271E+000,-5.3221947E+000,-2.2250388E+000,-1.4887292E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3375533E-003,-1.5087983E-002, 6.5707755E-004, 6.5707755E-004
 1.1259901E+002, 1.2384910E+001,-4.6398312E+000,-5.3807675E+000,-2.2299166E+000,-1.4883117E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.5727167E-004,-1.4435965E-002, 6.5707755E-004, 6.5707755E-004
 1.1274107E+002, 1.2438299E+001,-4.6579376E+000,-5.4114485E+000,-2.2340486E+000,-1.4880041E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1260370E-002,-1.3936083E-002, 6.5707755E-004, 6.5707755E-004
 1.1288315E+002, 1.2466859E+001,-4.6660882E+000,-5.4276422E+000,-2.2385046E+000,-1.4878652E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0291914E-004,-1.4162242E-002, 6.5707755E-004, 6.5707755E-004
 1.1302522E+002, 1.2482102E+001,-4.6729082E+000,-5.4330908E+000,-2.2412256E+000,-1.4879178E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0320888E-003,-1.3914013E-002, 6.5707755E-004, 6.5707755E-004
 1.1316729E+002, 1.2490275E+001,-4.6785907E+000,-5.4335838E+000,-2.2433433E+000,-1.4881778E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.5669618E-003,-1.4060471E-002, 6.5707755E-004, 6.5707755E-004
